symbol,name,horizon_days,model,status,model_status,train_rows,test_rows,eligible_for_comparison,mae,rmse,mape,smape,rmspe,mase,absolute_percentage_error_p50,absolute_percentage_error_p90,directional_accuracy,error_message,arima_order
fbtc,Function FBTC,14,ARIMA,success,VALIDATED,292,59,True,8438.330323262999,10096.419289253314,8.494510563056691,8.053996306728664,10.393266555830417,5.367469171739219,8.544084976765227,16.88469572138895,54.23728813559322,,"(1, 1, 2)"
fbtc,Function FBTC,14,Naive,success,VALIDATED_BASELINE,292,59,True,8438.255009689665,10135.939987976879,8.474538224303426,8.039277388877666,10.39509463834552,5.367421266138514,8.264743019740981,16.771319560605374,0.0,,
fbtc,Function FBTC,14,XGBoost,success,EXPERIMENTAL,292,59,True,7970.229176518542,10022.201928797114,8.248823795823366,7.804336931943588,10.800301224961244,5.069718505653054,6.5422855929089865,18.725237723031842,57.6271186440678,,
fbtc,Function FBTC,30,ARIMA,success,VALIDATED,292,43,True,14299.58877102469,16176.790932648011,15.092907836345473,13.730157510534044,17.4550030683881,9.095709572476661,16.144037940509012,26.513552225422668,51.162790697674424,,"(1, 1, 2)"
fbtc,Function FBTC,30,Naive,success,VALIDATED_BASELINE,292,43,True,14279.981648755189,16205.034657182548,15.069754485267785,13.704595838835953,17.481342370561684,9.083237836920405,15.95667519257008,26.460032538117026,0.0,,
fbtc,Function FBTC,30,XGBoost,success,EXPERIMENTAL,292,43,True,7735.873721387304,9322.235506583496,8.15148147984661,7.813188379530415,10.142131021732986,4.920649242841898,6.433056352229246,18.146757293874032,90.69767441860465,,
fil,Filecoin,1,ARIMA,success,VALIDATED,292,72,True,0.10430172841875812,0.21061801743854144,5.055880109013895,5.12498768372069,8.554700783196452,0.867384468548206,3.3006239179205425,8.75041419741562,51.388888888888886,,"(1, 1, 1)"
fil,Filecoin,1,Naive,success,VALIDATED_BASELINE,292,72,True,0.10525790098962298,0.21582451618365536,5.134088061105449,5.2103160019453965,8.765806876359173,0.8753361031931293,3.2424745269617903,9.214210497233871,0.0,,
fil,Filecoin,1,XGBoost,success,EXPERIMENTAL,292,72,True,0.4946280461859209,0.5805657116378244,29.839176783469977,24.66527845461256,36.251313787576144,4.113380396224126,38.15067231448748,55.810146046358796,41.66666666666667,,
fil,Filecoin,3,ARIMA,success,VALIDATED,292,70,True,0.21829321801356297,0.4017913031825706,10.649511908261294,10.72356205400274,16.856758984418267,1.8153500403577147,4.903297842697565,28.892054767624646,52.85714285714286,,"(1, 1, 1)"
fil,Filecoin,3,Naive,success,VALIDATED_BASELINE,292,70,True,0.2181393738862442,0.40299006579514945,10.625273615243076,10.701646560628859,16.896417266400615,1.8140706559348803,4.771001052526409,30.921720122700954,0.0,,
fil,Filecoin,3,XGBoost,success,EXPERIMENTAL,292,70,True,0.6677326403941913,0.746078947278788,39.72211758420616,31.64692323072166,46.127550688543515,5.552936947461393,46.13202927947643,66.36424129414664,38.57142857142858,,
fil,Filecoin,7,ARIMA,success,VALIDATED,292,66,True,0.34857017850853267,0.5187019855621849,17.757121311270026,17.22496996844024,24.594269742858984,2.898747351755312,10.971924373321148,43.91998902547502,51.515151515151516,,"(1, 1, 1)"
